  34	  2.33523608302465E-06    	 -2.33523608302465E-06    	 -3.253660505603944E-25      	 -4.832318619311274E-24  
  50	  2.06159047548276E-22    	 -2.06159047548276E-22    	 -6.763647536831343E-39      	 -7.257440042187630E-33  
  66	  5.52715263600480E-43    	 -5.52715263600481E-43    	 -4.542753987401120E-57      	 -1.548904373593927E-43  
  82	  1.15431910887562E-64    	 -1.15431910887562E-64    	 -2.391128222894995E-76      	 -1.060827697515913E-54  
 100	  1.61270197494982E-91    	  1.61270197494982E-91    	  1.694494557692691E-100     	  2.167756516430010E-68  
 116	  4.29072795457440E-116   	  4.29072795457439E-116   	  1.146331875457166E-122     	  6.897373965406850E-81  
 132	  1.97489594726409E-141   	  1.97489594726408E-141   	  1.343307288406226E-145     	  9.602762216309909E-94  
 148	  1.02167500665618E-167   	  1.02167500665618E-167   	  1.771663237396404E-169     	  4.747984242750709E-107 
 166	  1.09866554326786E-197   	 -1.09866554326786E-197   	 -9.713467044937330E-197     	 -3.300195205337761E-122 
 182	  9.67729501191394E-225   	 -9.67729501191393E-225   	 -2.183023016052291E-221     	 -7.009822132588360E-136 
 198	  2.22787557171635E-252   	 -2.22787557171635E-252   	 -1.282962497770088E-246     	 -7.824572446966171E-150 
 214	  1.87600204756689E-280   	 -1.87600204756689E-280   	 -2.758803741179672E-272     	 -5.384733204895499E-164 
 232	  3.11280272792672E-312   	  3.11280272792672E-312   	  2.337536066771586E-301     	  5.059316292247316E-180 
 248	  8.06615349683887E-341   	  8.06615349683885E-341   	  1.547333029501583E-327     	  1.971956097078568E-194 
 264	  9.61444185998709E-370   	  9.61444185998706E-370   	  4.712363828470896E-354     	  5.280846653660939E-209 
 280	  5.05847687444059E-399   	  5.05847687444057E-399   	  6.335942515365008E-381     	  9.515553338877648E-224 
 298	  2.53195589613631E-432   	 -2.53195589613631E-432   	 -1.620830870577193E-411     	 -1.643498250350165E-240 
 314	  2.35866377064357E-462   	 -2.35866377064356E-462   	 -3.859891713805530E-439     	 -1.278134097154192E-255 
 330	  1.19206760076056E-492   	 -1.19206760076056E-492   	 -4.987493089483269E-467     	 -7.381742665636706E-271 
