  34  0.2499999999999725E-04  0.1855500000000000E-01  0.2420999999999993E-02  0.5990000000000023E-03
  50  0.6999999999993123E-05  0.1025500000000000E-01  0.4400000000000237E-04  0.2629999999999993E-03
  66  0.7999999999980245E-05  0.2146499999999998E-01  0.5600000000000049E-04  0.6550000000000167E-03
  82  0.1399999999998625E-04  0.3959200000000002E-01  0.7299999999998974E-04  0.2653000000000016E-02
 100  0.1100000000003876E-04  0.6797900000000004E-01  0.9199999999998099E-04  0.1407999999999965E-02
 116  0.1799999999996249E-04  0.1048480000000000E+00  0.1150000000000317E-03  0.4964999999999997E-02
 132  0.8099999999999774E-04  0.5775710000000001E+00  0.3784000000000010E-02  0.1952099999999990E-01
 148  0.1210000000000377E-03  0.2155800000000001E+00  0.4591000000000012E-02  0.2607800000000005E-01
 166  0.1229999999998732E-03  0.2983269999999996E+00  0.5363000000000007E-02  0.3596400000000033E-01
 182  0.1309999999996592E-03  0.3975840000000002E+00  0.6038000000000210E-02  0.4663799999999974E-01
 198  0.1280000000001280E-03  0.5051009999999998E+00  0.1099600000000045E-01  0.5904199999999982E-01
 214  0.1970000000000027E-03  0.6360410000000005E+00  0.1224299999999978E-01  0.7241699999999973E-01
 232  0.1809999999995426E-03  0.8286909999999992E+00  0.1554100000000069E-01  0.9194100000000027E-01
 248  0.1389999999990010E-03  0.1044226999999999E+01  0.1413100000000078E-01  0.1117760000000008E+00
 264  0.2469999999998862E-03  0.1277714999999999E+01  0.1935000000000109E-01  0.1327579999999990E+00
 280  0.2539999999982001E-03  0.1552193999999997E+01  0.2141200000000154E-01  0.1643530000000020E+00
 298  0.2510000000022217E-03  0.1742429000000001E+01  0.2163999999999788E-01  0.1890169999999998E+00
 314  0.2670000000009054E-03  0.2072693999999998E+01  0.2662499999999923E-01  0.2687580000000018E+00
 330  0.2779999999980021E-03  0.2399895000000001E+01  0.2864100000000036E-01  0.2524389999999990E+00
