    14       0.14000000000001262989712813590005322E+000002       0.19696041724781434112401257152669163E+000002       0.14000000000001456612608308217305972E+000002
    15       0.36000023061243494343131809876357323E+000002       0.19314702847752412330176411406409161E+000002       0.36000003231504908642124374631107571E+000002
    16       0.16000000000000017763568394002511894E+000002       0.15493540416010766591625724686348257E+000002       0.16000000000000007105427357601004691E+000002
    17       0.37994087770996700593410702730780755E+000002       0.22491864530700761655328744539153877E+000002       0.37991135218588543153152637283258111E+000002
    18       0.17999999999999996447286321199499397E+000002       0.21217637352677652273769126622937792E+000002       0.17999999999999996447286321199499366E+000002
    19       0.39999843370220369591532254991558190E+000002       0.20694629036067501432817680665660609E+000002       0.39938796368633684685301894951430646E+000002
    20       0.20000000000000000000000000000000000E+000002       0.19760737861538281379125692183151934E+000002       0.19999999999999996447286321199499071E+000002
    21       0.19423573569488050061618903970079249E+000002       0.20084934038740990146615820378344033E+000002       0.21587446222165891137721050872200169E+000002
    22       0.22000000000000000000000000000000210E+000002       0.21130643710148060421261106966995689E+000002       0.22000000000000003552713678800501117E+000002
    23       0.19354791821588343712441139863945636E+000002       0.20395427791504633186452921236996140E+000002       0.20224216946022183148447058959290681E+000002
    24       0.24000000000000063948846218409016790E+000002       0.19952249180616608015270685427822660E+000002       0.24000000000000056843418860808014885E+000002
    25       0.38807249779691330587664889156369990E+000001       0.19686657623437064339438211876814072E+000002       0.38937573246233828921208904722758303E+000001
    26       0.25999999999999371169678852316455985E+000002       0.19043094474700822615886863786729868E+000002       0.25999999999999374722392531116127032E+000002
