    18       0.83655309460387484163901672218498586E-000002       0.11107285663714658446421802017928663E+000000       0.83655309460388261817989195544312300E-000002
    19       0.11540986224827280453140044988989389E-000008       0.56941987405777509301735750325527730E-000001       0.11540987269636893388527077659997271E-000008
    20       0.80571352434585322993369241054518629E-000001       0.50688469127179940541193568424268778E-000001       0.80571352434585737106317144594566523E-000001
    21       0.20312894769783842124346535872399907E-000010       0.73119293185836916557439915793444489E-000001       0.20313011577537536911458586398727990E-000010
    22       0.24473221322233123715598559224234610E+000000       0.19081896798984033318239400405056029E+000000       0.24473221322233222190010573628394237E+000000
    23       0.29124692356985706034466803671412454E-000012       0.13691547375080970723401813129378049E+000000       0.29131667501748341767573988886909557E-000012
    24       0.33863228190518354254727546253973789E+000000       0.42278882227644534480672530220710828E-000002       0.33863228190518479417177507798375081E+000000
    25       0.35071072369202254043056380834009510E-000014       0.68344473043015478882890603425625176E-000001       0.35684356271713382189546598307153608E-000014
    26       0.23544122865788944622247926095554165E+000000       0.21040168674898269823899423998392974E+000000       0.23544122865789029529056868684943560E+000000
    27       0.13517413745696712244457202576643649E-000013       0.21505441257113298431025724774672483E+000000       0.13601483960389381683418573148071047E-000013
    28       0.79483576658208322440682731962681243E-000001       0.56845358017637465823642592912384255E-000001       0.79483576658208602412761252155858450E-000001
    29       0.46203197463562986310304219602086525E-000011       0.47784321325523835082387415994533535E-000001       0.46203934122427690816937103866394750E-000011
    30       0.11402476856976691956859312854004336E-000001       0.10702139272598432783147407484493454E+000000       0.11402476856976704334242261219342829E-000001
